lon,lat,street,pano_id
-73.9792904,40.66985837,7 AV,2zKasjl3Q1DQkUD-lqoOsg
-73.98929734,40.7531342,7 AV,4Ca0K1CNlYxyMCrqL4Jq3A
-73.81314358,40.79539805,7 AV,s4grLu8iNoGJ9RVDlRyrEw
-74.01042056,40.63831097,7 AV,Z2o_MC0jy8sHLcFgOFf2Cg
-74.01564347,40.63149733,7 AV,0_jGeLsBeVeepQ5sbJ8bRA
-73.84833202,40.79099555,7 AV,S5XjZH8bmFKxKJWSsGpbTQ
-73.98240359,40.76257824,7 AV,tkYEiJSsGg_pIGm8iScQzg
-74.00059794,40.73762071,7 AV,Wr-utVFpZTGCOE4K0uZ3mw
-73.9939976,40.74605545,7 AV,Zo3W3mBvvbNrz-7LAU5J_g
-73.98957786,40.65835684,7 AV,6GFHQ5lBjaXcuZMAy8hq2g
-74.00538382,40.64273956,7 AV,koTi6Lj25thUynLbKUhycA
-73.99042695,40.75157777,7 AV,z8whVp5hHgyWepHE5Ay64Q
-73.81404045,40.79510186,7 AV,iags9ZX7n9V8UwYNzOwMzA
-74.0064231,40.64215008,7 AV,2nKk0Wg1jYZ6C5pzQY-Ddw
-74.00796909,40.64066904,7 AV,AFXlveZ9xjoqJKOXA_2bPw
-74.00034941,40.73733186,7 AV,oNeFF_BAvx0vGXsq-YnPyw
-73.843793,40.79063299,7 AV,EYThW5ZXpCXJPtWq_fITXQ
-73.97738823,40.67213814,7 AV,9cieGopBsNv0RYHSJ6IuNA
-73.84628487,40.79070197,7 AV,MTPTTAiIeqYGXt8fhxKwqw
-73.84902778,40.79094306,7 AV,FN_2508W2Y73EQSk_7tCHg
-73.98496327,40.66306188,7 AV,q4ZL-Apn7CydLKQ4_6oPoA
-73.98412612,40.75960024,7 AV,Pe260oisU95lb76NseIBXQ
-73.99821132,40.74026129,7 AV,UWZ2MQBfCH_xR87nzRoWWw
-73.9996936,40.64821737,7 AV,l0rQfGLwHMxnR05yNsibFw
-73.99266729,40.74788619,7 AV,w1f8dLbBCcnRVj_bL1k-Ag
-74.00792074,40.64029933,7 AV,vZGhjvkCqGM3lVOoov6ffw
-73.81979097,40.79411921,7 AV,CRQkRZjDfa_tQL0N5a_K8Q
-74.00105244,40.64693616,7 AV,bQyiF-4TaRSCIt4Nxmkq_A
-73.98537434,40.66256576,7 AV,7grvcXX14GVR2G1m5fTsYg
-74.00368025,40.6443935,7 AV,swRed5xMsLLcocfhW_QMPQ
-73.99262362,40.74794589,7 AV,US17_yfdydJjDb89Fb9yjQ
-74.00646206,40.64172476,7 AV,96rkG7kG8CkMSgg-NdEqFA
-74.00676155,40.64143246,7 AV,D51exQrHXg4SSXmiKBV3_w
-74.01537614,40.63381773,7 AV,VX0kOGhra0qHimU3xynaqA
-73.82039606,40.79359692,7 AV,n75KzIYAMQU71vYEKa6ajQ
-73.98236612,40.66616991,7 AV,-11iVUr8xk058exVK1u6qw
-73.81322925,40.79538019,7 AV,dPjJ6eB__IMppVmX4Zx8wQ
-73.82245179,40.79313772,7 AV,lqyJYku7IYISVBy0Q3vKcQ
-73.84864529,40.79063552,7 AV,p1tF90H4oKRaG4qRQJwo0w
-73.98753864,40.75491971,7 AV,cwlr0JdxMQKF2f_-UGtmVg
-73.99336797,40.74752962,7 AV,7c3Cbq-LtCNzMGr8sCBFCw
-73.99213445,40.74860177,7 AV,uwF7qek9Wtwe4z6lzJLfPw
-73.81193243,40.79530207,7 AV,uG59Prm-MBCQv9HlrEjVNA
-73.84219102,40.7908502,7 AV,5dRccACEyUqBqVKC6GDvUw
-74.01826036,40.6285411,7 AV,yGvFB4FOD09fhT-LrM961g
-73.84850706,40.79067608,7 AV,IZwkdwT-iqCrxA-0nqMiSA
-74.00321625,40.644818,7 AV,tNMkAV81JszcgCZupFFVDQ
-74.02244836,40.61610619,7 AV,cvvOPPGv_hra8lHn5Ir3dA
-73.98996358,40.7522158,7 AV,pb3Rav5oylHzwglR7ZAyeA
-74.02057598,40.61952913,7 AV,LjD2WOMBSoeKe6_zj9K2QQ
-73.99825028,40.74083196,7 AV,m_dSu-L8hO4nKITeH45QrA
-74.0041995,40.64428779,7 AV,20Lkxnqml7f1csZ91bK2pQ
